CoordinateX,CoordinateY
-2.92,-3.55
2.32,2.8
-0.93,-6.09
4.13,-7.43
2.41,-3.87
-0.81,0.64
6.14,-3.94
3.99,-1.7
-1.88957,-7.07495
5.16,4.68
5.79,0.12
-6.19,-2.69
-10.92329,0.5338
-0.64,-0.81
1.8,8.41
2.06,-3.76
5.99479,-0.31547
-9.28,2.65
-5.53,4.21
11.87,-0.85
3.05249,5.96019
-0.67953,0.3883
1.56,0.38
-2.87,3.35
-17.14,-10.04
2.41817,-9.86935
10.0561,1.23537
-0.80175,18.70628
11.39,5.63
-6.7,7.23
-4.14,0.73
5.51,0.85
-0.3634,-3.22229
-3.42782,-1.58015
-14.95,-4.19
-3.24,-1.08
8.52906,-1.6957
-3.43,10.48
0.15,-1.72
9.47129,13.5453
-0.28,-1.11
4.8,7.96
-3.1976,-9.01368
-2.22872,7.31727
-4.88,6.24
1.53,0.7
7.49756,-7.44917
6.09,4.39
-1.57,0.52
-4.28,0.43
4.27,3.45
-9.83,7.55
-6.46,-5.1
2.04,6.94
-1.26414,-0.38896
-6.49,-5.42
-4.63,-8.72
0.79,-0.57
-1.3325,1.18714
7.33,-8.15
-0.46,-7.21
-6.14302,7.06236
-3.35,9.66
-16.24,-4.91
-4.67,-2.33
5.03943,2.85873
1.72,1
-12.23,1.85
1.82,-3.76
-2.07,-7.38
1.62602,1.33478
0.58,-0.76
-7.81514,-4.46514
20.96,-23.69
-28.83,27.57
-3.3,10.68
-11.06,-2.65
-0.17,-1.43
-2.02,-0.55
3.95,-2.29
1.63,-2.79
2.08,1.12
-1.84443,-1.69882
-4.3,-6.58
0.31,0.46
-0.87214,5.08796
-10.8826,-12.91624
-0.97,5.1
-2.11,2.26
-0.56,-5.41
3.36762,-2.5923
-3.64,2.57
7.35,-3.62
-0.65,1.27
4.85,-8.88
-0.12,7.01
3.62754,-7.78843
0.29,8.82
-6.14,-0.12
-6.99743,19.80577
1.98,11.81
-8.56793,2.45086
2.22509,-1.35439
-1.24,6.93
-0.88,3.35
0.83,-6.83
1.03,-0.51
9.32044,-3.73692
0.12,0.38
4.10096,-9.05333
-0.46,2.4
1.26,5.51
-7.57,-2.39
5.67,-3.63
-4.60333,1.69585
-3.36,-9.32
2.39826,-7.87465
2.29,-3.06
4.55436,-8.14102
4.62702,-8.31066
4.74,-2.23
1.79589,-2.28128
-7.26,-3.41
-0.87,-17.82
0.43,-3.14
-0.34,5.45
-9.59,3.86
-3.34299,-8.57741
-2.7,4.25
1.62,0.17
4.07,6.45
1.48,-3.86
3.77,3.14
3.26509,2.34598
-0.96,0.69
3.8,-8.74
-10.9,-12.16
2.58,1.46
4.17,0.19
1.29,-7.85
-5.42652,8.33478
-6.82011,0.12133
0.29122,2.62107
3.98,-5.15
11.7,-5.95
5.17582,-4.11149
8.3,3.69
2.44661,-9.23189
2.65,0.55
3.76,-8.33
1.46,-1.95
-1.31,2.37
1.7443,-4.79717
5.75,1.63
-8.39736,6.89207
3.28,-0.02
-10.84,13.47
-18.84,5.53
-6.12974,3.94889
-7.58332,6.61389
2.37835,-1.99004
-1.38311,-9.34492
4.72925,20.0353
-11.4,0.12
-4.80502,-6.89265
-0.8,13.84
1,-3.96
-10.72,-4.19
6.17817,-4.33653
-3.69,-4.95
-12.11,-5.15
0.52,-5
21.59,25.1
-5.03,-5.96
8.7367,-9.02809
-0.75,1
4.26362,8.28647
2.90223,4.15999
-8.00963,-0.38826
-7.92,-3.73
-0.87348,11.36041
-0.29122,-4.32
1.26,-3.06
11.72,-1.04
15.85,-12.3
-5.70333,4.1984
1.52363,-5.00663
0.32,3.38
0.47,0.41
10.11,14.49
2.24,-1.81
-5.55,-3.41
7.71778,-6.21259
1.41,-4.53
9.75,-0.02
4.41697,-3.78591
1.34,-2.56
6.75996,0.12113
2.14,-0.77
-0.98,-1.58
1.14,-1.77
20.55,8.24
-2.82,2.72
-0.27,0.26
-4.79,7.56
2.09,3.15
-2.97969,-7.68073
5.67777,12.03976
-1.97,1.57
-8.50363,9.03692
-8.10312,0.8464
-0.35,-0.24
2.08,-0.51
3.38,-9.43
-4.68,-0.51
-3.45,-5.82
-2.97,-0.04
0.51,0.59
7.7,-12.91
-4.70021,2.76184
3.73086,5.91168
-2.04,2.38
0,1.79898
1.41,-0.57
0.44,-0.15
15.65444,-4.18243
-6.12,-2.04
1.07,1.67
-1.97,1.73
3.82,2.41
-5.57,3.82
11.27282,-3.43366
7.79112,1.18905
-0.66,10.61
-2.8,-0.66
2.59233,-2.01085
0.48,0.33
0.07,5.74
-7.78,-9.87
0.85,-4.34
15.93,9.16
5.15159,4.57104
0.36403,-1.57748
3.75,4
-5.88346,-0.53479
0.83,-8.45
-3.80362,4.91822
2.38,-41.62
-3.96,12.77
7.29,10.31
0.02,2.21
-7.45113,-3.2275
-4.13,-2.53
-18.98,2.3
2.24,7.35
2.58,1.03
6.17837,0.55719
-7.89,3.36
3.64035,-3.15493
-0.15,-4.9
2.4,-1.13
-0.34,-0.6
-12.23,-6.36
-0.85,-0.31
2.42679,5.33936
-1.12,-0.63
2.47,-3.12
9.14,-9
7.45,3.76
-14.7598,-3.51168
0.24227,-1.79283
10.4,-7.72
0.87,8.2
1.29,5.47
-5.66,-2.8
-2.51966,-1.25981
2.84,5.8
3.03,2.74
-0.59,-0.34
-4.76,6.55
-3.31909,4.33674
-2.04,-5.19
7.68058,-4.48174
-20.47141,-6.79864
11.77,17.26
11.07,-9.33
-11.34,-4.8
-3.6223,1.87186
-2.9,-0.19
5.38,-5.73
0.46,-7.27
1.23771,1.82017
8.46785,-5.99931
2.75,-0.17
2.97,-2.77
0.22,-0.41
-1.11433,-7.94742
-0.95,-17.9
-0.87214,-5.57257
-2.26,-6.53
-5.67,-5.67
-7.77753,-4.38482
2.38,-1.57
-3.90736,2.01427
8.84417,0.84784
35.65,16.55
-32.55,5.1
0.7,-5.15
-5.28141,-6.49307
-0.75222,9.19927
7.78,-4.04
-14.98,10.65
-7.32,-8.39
-5.74,2.78
-1.24,-0.46
3.19184,-11.32125
-4.05301,1.14061
-0.07292,-10.18791
2.85,-0.32
1.71,0.15
1.88,0.75
8.67,-1.63
0.87367,2.71814
-6.32,1.1
9.66,-0.15
0.58,14.66
7.54,-5.98
3.83,3.89
0.92,-1.65
1.59885,-7.36577
